monitored_group,size_base,size_opt,(size_base - size_opt) / size_base
[{'race': 'Caucasian'}],1360,1128,0.17058823529411765
[{'race': 'African-American'}],1376,1144,0.1686046511627907
[{'race': 'Hispanic'}],1360,1128,0.17058823529411765
[{'sex': 'Male'}],1352,1120,0.17159763313609466
[{'sex': 'Female'}],1352,1120,0.17159763313609466
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}]",1888,1608,0.1483050847457627
"[{'race': 'African-American'}, {'race': 'Hispanic'}]",1776,1496,0.15765765765765766
"[{'race': 'Caucasian'}, {'race': 'Caucasian', 'sex': 'Male'}]",1784,1504,0.15695067264573992
"[{'race': 'Hispanic'}, {'race': 'Caucasian', 'sex': 'Female'}]",1848,1568,0.15151515151515152
"[{'race': 'African-American'}, {'sex': 'Male'}]",1824,1544,0.15350877192982457
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}]",2264,1936,0.14487632508833923
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}]",2152,1824,0.1524163568773234
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}]",2256,1928,0.1453900709219858
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}]",2256,1928,0.1453900709219858
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'African-American', 'sex': 'Female'}]",2200,1872,0.14909090909090908
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American'}, {'race': 'Hispanic'}]",2632,2256,0.14285714285714285
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}, {'sex': 'Female'}]",2632,2256,0.14285714285714285
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}]",2576,2200,0.14596273291925466
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}]",2568,2192,0.14641744548286603
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}]",2568,2192,0.14641744548286603
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}]",2512,2136,0.14968152866242038
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic'}]",3008,2584,0.14095744680851063
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}, {'race': 'African-American', 'sex': 'Female'}, {'sex': 'Female'}]",3008,2584,0.14095744680851063
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}, {'sex': 'Female'}]",3008,2584,0.14095744680851063
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}]",2944,2520,0.14402173913043478
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}]",3008,2584,0.14095744680851063
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}]",3320,2848,0.14216867469879518
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'Hispanic', 'sex': 'Female'}]",3320,2848,0.14216867469879518
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}, {'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}]",3320,2848,0.14216867469879518
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic'}]",3320,2848,0.14216867469879518
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'African-American'}]",3320,2848,0.14216867469879518
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}, {'race': 'African-American', 'sex': 'Male'}]",3632,3112,0.14317180616740088
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'Hispanic', 'sex': 'Female'}, {'race': 'African-American'}]",3632,3112,0.14317180616740088
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}, {'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Male'}]",3632,3112,0.14317180616740088
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic'}, {'race': 'Caucasian', 'sex': 'Male'}]",3632,3112,0.14317180616740088
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}]",3632,3112,0.14317180616740088
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Hispanic'}, {'race': 'African-American', 'sex': 'Male'}, {'sex': 'Female'}]",3944,3376,0.1440162271805274
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'Hispanic', 'sex': 'Female'}, {'race': 'African-American'}, {'sex': 'Female'}]",3944,3376,0.1440162271805274
"[{'race': 'Caucasian'}, {'race': 'African-American'}, {'race': 'Hispanic'}, {'sex': 'Male'}, {'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}]",3944,3376,0.1440162271805274
"[{'race': 'Caucasian', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'race': 'African-American', 'sex': 'Male'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic'}, {'race': 'Caucasian', 'sex': 'Male'}, {'sex': 'Male'}]",3944,3376,0.1440162271805274
"[{'race': 'African-American', 'sex': 'Male'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'Caucasian', 'sex': 'Female'}, {'race': 'African-American', 'sex': 'Female'}, {'race': 'Hispanic', 'sex': 'Male'}, {'race': 'African-American'}, {'sex': 'Female'}, {'sex': 'Male'}]",3944,3376,0.1440162271805274
